City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,tidjikja,18.5564,-11.4271,31.24,32,100,4.42,MR,1685051808
244,luderitz,-26.6481,15.1594,12.05,85,0,4.02,NA,1685051808
245,zaragoza,41.6561,-0.8773,16.25,67,75,2.06,ES,1685051622
246,sakakah,29.9697,40.2064,26.76,20,3,8.47,SA,1685051808
247,tolanaro,-25.0319,46.9987,18.04,82,75,2.06,MG,1685051808
248,kudahuvadhoo,2.6708,72.8944,28.37,71,25,3.34,MV,1685051809
249,quba,41.3626,48.5152,19.86,59,100,1.13,AZ,1685051809
250,shenjiamen,29.9576,122.298,18.99,96,100,4.44,CN,1685051809
251,zhangjiakou,40.81,114.8794,15.3,42,23,1.13,CN,1685051809
252,fortuna,40.5982,-124.1573,13.7,87,20,7.72,US,1685051809
253,hongwon,40.0253,127.9558,15.05,78,42,1.93,KP,1685051810
254,nyurba,63.2842,118.3319,4.55,69,69,3.86,RU,1685051810
255,lastoursville,-0.8143,12.7287,24.14,90,99,0.93,GA,1685051810
256,enewetak,11.3474,162.3373,28.09,76,97,6.98,MH,1685051811
257,port moresby,-9.4431,147.1797,23.68,94,100,2.57,PG,1685051525
258,nuku'alofa,-21.1333,-175.2,23.19,83,100,2.57,TO,1685051811
259,kostanay,53.1667,63.5833,12.16,71,0,3.0,KZ,1685051811
260,kurtamysh,54.9103,64.4319,14.12,76,7,2.19,RU,1685051811
261,inyonga,-6.7167,32.0667,21.04,62,49,1.82,TZ,1685051812
262,macheng,31.1783,115.0319,22.03,83,99,1.33,CN,1685051812
263,luchegorsk,46.4764,134.2569,15.78,59,100,3.56,RU,1685051812
264,haimen,23.1935,116.6142,24.94,94,33,2.0,CN,1685051812
265,hobyo,5.3505,48.5268,27.96,76,25,6.97,SO,1685051696
266,manzano,45.9917,13.3839,20.85,71,40,2.06,IT,1685051813
267,alofi,-19.0595,-169.9187,21.8,70,100,7.85,NU,1685051813
268,pizarro,4.9533,-77.366,28.27,76,96,2.63,CO,1685051813
269,chonchi,-42.6128,-73.8092,7.56,89,97,1.28,CL,1685051813
270,kavaratti,10.5669,72.642,29.35,70,3,3.88,IN,1685051654
271,novodvinsk,64.4165,40.8122,10.06,82,73,2.19,RU,1685051814
272,amga,60.8953,131.9608,8.24,66,64,0.67,RU,1685051814
273,jinxiang,27.4327,120.6062,20.5,85,94,1.03,CN,1685051814
274,taourirt,34.4073,-2.8973,20.1,53,0,3.18,MA,1685051814
275,peniche,39.3558,-9.3811,17.94,93,2,3.98,PT,1685051696
276,opuwo,-18.0607,13.84,16.4,47,41,1.54,NA,1685051815
277,tromso,69.6496,18.957,4.01,75,75,10.8,NO,1685051671
278,mahibadhoo,3.7833,72.9667,28.56,73,6,4.44,MV,1685051815
279,askoy,60.4092,5.226,8.9,87,75,3.6,NO,1685051816
280,ulsteinvik,62.3432,5.8487,9.31,84,95,4.92,NO,1685051816
281,kutum,14.2,24.6667,28.38,19,48,1.89,SD,1685051816
282,palikir - national government center,6.9248,158.1611,27.47,89,40,4.63,FM,1685051816
283,puerto armuelles,8.2833,-82.8667,27.87,82,93,2.42,PA,1685051816
284,xuanzhou,30.9525,118.7553,20.09,91,95,2.05,CN,1685051817
285,stanley,54.868,-1.6985,13.27,77,0,0.51,GB,1685051817
286,rapid valley,44.0625,-103.1463,27.11,45,0,8.75,US,1685051817
287,levelland,33.5873,-102.378,26.64,39,41,6.01,US,1685051817
288,pechora,65.1472,57.2244,16.73,78,45,5.08,RU,1685051818
289,soni,-4.85,38.3667,14.91,94,8,0.83,TZ,1685051818
290,corn island,12.1694,-83.0418,28.46,69,80,3.87,NI,1685051818
291,mili,6.0815,171.735,28.62,76,18,8.2,MH,1685051818
292,kralendijk,12.15,-68.2667,28.99,79,100,6.17,BQ,1685051818
293,levuka,50.1834,-105.4011,23.9,77,75,5.66,CA,1685051819
294,nagqu,31.5,92.0,3.03,66,100,5.3,CN,1685051819
295,vila franca do campo,37.7167,-25.4333,17.23,83,26,3.23,PT,1685051632
296,fale old settlement,-9.3852,-171.2468,28.46,74,18,5.02,TK,1685051819
297,ayorou,14.7308,0.9174,37.38,17,21,3.33,NE,1685051820
298,kidal,18.4411,1.4078,34.46,16,6,8.42,ML,1685051820
299,mermoz boabab,14.7065,-17.4758,25.31,83,0,4.12,SN,1685051820
300,tosontsengel,48.7567,98.2839,-0.67,43,53,0.79,MN,1685051820
301,kruisfontein,-34.0033,24.7314,11.6,83,100,9.99,ZA,1685051820
302,kismayo,-0.3582,42.5454,26.52,76,7,6.21,SO,1685051821
303,subaykhan,34.8544,40.6083,23.6,51,63,3.24,SY,1685051821
304,almazan,41.4865,-2.5309,9.88,70,100,4.92,ES,1685051821
305,sittwe,20.15,92.9,28.17,78,55,1.96,MM,1685051650
306,marsh harbour,26.5412,-77.0636,26.67,69,39,0.45,BS,1685051822
307,kourou,5.1552,-52.6478,25.03,91,100,3.44,GF,1685051822
308,oranjemund,-28.55,16.4333,11.77,84,1,0.88,NA,1685051823
309,piti village,13.4626,144.6933,27.53,89,100,7.39,GU,1685051823
310,carutapera,-1.195,-46.02,25.55,87,49,3.1,BR,1685051824
311,thompson,55.7435,-97.8558,13.09,94,100,0.0,CA,1685051824
312,visakhapatnam,17.69,83.2093,26.92,72,81,2.64,IN,1685051824
313,banda aceh,5.5577,95.3222,27.05,79,95,4.69,ID,1685051716
314,barra de santo antonio,-9.4047,-35.5072,24.6,85,6,3.63,BR,1685051825
315,sierra grande,-41.606,-65.3557,12.72,39,45,7.15,AR,1685051825
316,klyuchi,52.2667,79.1667,13.97,38,100,4.09,RU,1685051624
317,olyokminsk,60.3736,120.4264,8.24,41,15,2.36,RU,1685051826
318,palma sola,-23.9634,-64.2987,20.72,91,79,0.95,AR,1685051827
319,baiyin,36.5583,104.2081,12.8,61,100,3.81,CN,1685051827
320,mugia,43.1041,-9.2179,17.31,80,0,11.54,ES,1685051828
321,vangaindrano,-23.35,47.6,19.23,85,81,0.86,MG,1685051828
322,angaur state,6.906,134.13,28.97,79,48,8.98,PW,1685051828
323,champerico,14.3,-91.9167,34.3,65,40,5.7,GT,1685051680
324,kiunga,-6.1219,141.2906,21.86,100,100,0.65,PG,1685051829
325,road town,18.4167,-64.6167,30.02,66,40,4.12,VG,1685051720
326,santo antonio do ica,-3.1022,-67.9397,25.8,96,85,0.64,BR,1685051829
327,kavieng,-2.5744,150.7967,27.76,77,48,0.87,PG,1685051830
328,carauari,-4.8828,-66.8958,26.03,93,92,0.71,BR,1685051830
329,indramayu,-6.3264,108.32,25.13,75,35,3.33,ID,1685051831
330,crieff,56.3727,-3.8389,11.31,88,12,1.61,GB,1685051831
331,mariental,-24.6333,17.9667,9.69,73,0,4.78,NA,1685051831
332,hithadhoo,-0.6,73.0833,28.64,68,26,4.58,MV,1685051832
333,bamboo flat,11.7,92.7167,27.05,78,96,1.03,IN,1685051832
334,sambava,-14.2667,50.1667,21.96,90,17,2.15,MG,1685051832
335,gemerek,39.1834,36.0719,10.75,88,52,0.65,TR,1685051833
336,dunedin,-45.8742,170.5036,16.56,43,100,4.02,NZ,1685051833
337,acapulco de juarez,16.8634,-99.8901,30.8,62,5,4.82,MX,1685051717
338,vila velha,-20.3297,-40.2925,22.97,90,0,1.54,BR,1685051547
339,nilakottai,10.1667,77.8667,27.45,71,96,1.19,IN,1685051835
340,keflavik,64.0049,-22.5624,7.95,81,75,7.72,IS,1685051836
341,pacific grove,36.6177,-121.9166,16.82,74,100,4.92,US,1685051636
342,borisoglebskiy,57.2586,39.1508,12.52,95,66,2.73,RU,1685051836
343,sao joao da barra,-21.6403,-41.0511,21.05,85,0,3.34,BR,1685051675
344,la peca,-5.6111,-78.435,26.9,61,42,1.57,PE,1685051837
345,ribeira brava,32.65,-17.0667,18.73,74,60,1.38,PT,1685051837
346,antonio enes,-16.2325,39.9086,22.65,67,1,3.07,MZ,1685051837
347,kayangel,8.0823,134.7173,29.29,77,100,8.47,PW,1685051680
348,dakhla,23.6848,-15.958,20.01,83,40,2.06,EH,1685051838
349,kailua-kona,19.6406,-155.9956,27.5,79,75,5.66,US,1685051839
350,las lomitas,-24.7096,-60.593,25.17,51,90,3.26,AR,1685051839
351,mount pearl,47.5166,-52.7813,5.53,92,100,4.12,CA,1685051839
352,birao,10.2849,22.7882,33.08,22,87,1.81,CF,1685051839
353,saint-pierre,-21.3393,55.4781,21.43,88,100,2.57,RE,1685051840
354,wilhelmsburg,48.1057,15.6054,14.68,99,68,0.34,AT,1685051841
355,xining,36.6167,101.7667,7.68,85,100,1.21,CN,1685051841
356,naco,31.3347,-109.9483,31.54,10,7,6.56,MX,1685051842
357,farafangana,-22.8167,47.8333,19.24,85,54,0.13,MG,1685051842
358,lazaro cardenas,17.9583,-102.2,30.46,62,13,5.3,MX,1685051736
359,chambersburg,39.9376,-77.6611,21.14,38,83,4.47,US,1685051843
360,yayas de viajama,18.6071,-70.9275,28.92,63,6,3.09,DO,1685051843
361,akureyri,65.6835,-18.0878,7.96,57,75,1.03,IS,1685051843
362,kurumkan,54.3,110.3,3.28,69,35,0.35,RU,1685051844
363,lanxi,29.2195,119.477,20.69,91,100,0.52,CN,1685051844
364,qarauyl,48.9451,79.255,12.24,37,100,3.17,KZ,1685051844
